ORDERNUMBER,ORDERLINENUMBER,order_id,order_line,warehouse,delivery_date,shipping_cost
10107,2,10107,2,WH_C,2003-02-25,32.6535254260137
10121,5,10121,5,WH_C,2003-05-07,32.58133476105812
10134,2,10134,2,WH_C,2003-07-01,34.237201887363625
10145,6,10145,6,WH_C,2003-08-26,33.961438531031156
10159,14,10159,14,WH_C,2003-10-10,32.548524923617606
10168,1,10168,1,WH_C,2003-10-28,33.52253011399398
10180,9,10180,9,WH_C,2003-11-11,32.49855766653495
10188,1,10188,1,WH_C,2003-11-18,33.08193756809575
10201,2,10201,2,WH_C,2003-12-01,33.76179205276458
10211,14,10211,14,WH_C,2004-01-16,32.0706504503225
10223,1,10223,1,WH_C,2004-02-20,33.30932950402405
10237,7,10237,7,WH_C,2004-04-05,32.80579319579897
10251,2,10251,2,WH_C,2004-05-19,34.40743377717094
10263,2,10263,2,WH_C,2004-06-28,35.10811348423917
10275,1,10275,1,WH_C,2004-07-23,32.36569775793768
10285,6,10285,6,WH_C,2004-08-27,34.4608431845171
10299,9,10299,9,WH_C,2004-10-01,33.17212806896744
10309,5,10309,5,WH_C,2004-10-15,33.016611998583784
10318,1,10318,1,WH_C,2004-11-02,34.17156605112345
10329,1,10329,1,WH_C,2004-11-16,34.798296918369516
10341,9,10341,9,WH_C,2004-11-24,34.61443648056854
10361,13,10361,13,WH_C,2004-12-18,38.97866020546423
10375,12,10375,12,WH_C,2005-02-04,33.14300828339327
10388,4,10388,4,WH_C,2005-03-04,34.33315686810929
10403,7,10403,7,WH_C,2005-04-08,32.65757616368006
10417,2,10417,2,WH_C,2005-05-13,33.362661697525354
10103,11,10103,11,WH_C,2003-01-30,33.26010806621257
10112,1,10112,1,WH_C,2003-03-24,33.81030425804249
10126,11,10126,11,WH_C,2003-05-29,32.51113538206931
10140,11,10140,11,WH_C,2003-07-24,32.98757159490759
10150,8,10150,8,WH_C,2003-09-19,34.519833266442774
10163,1,10163,1,WH_C,2003-10-22,32.547301114006714
10174,4,10174,4,WH_A,2003-11-07,50.487279072657785
10183,8,10183,8,WH_C,2003-11-15,37.27949378681294
10194,11,10194,11,WH_C,2003-11-25,31.73048869502269
10206,6,10206,6,WH_C,2003-12-05,31.772528193370277
10215,3,10215,3,WH_C,2004-01-29,32.59314417023073
10228,2,10228,2,WH_C,2004-03-10,34.88166852527125
10245,9,10245,9,WH_C,2004-05-04,32.57438049390245
10258,6,10258,6,WH_C,2004-06-15,34.746022631458466
10270,9,10270,9,WH_C,2004-07-19,34.015245699788935
10280,2,10280,2,WH_C,2004-08-17,33.17279189422334
10291,11,10291,11,WH_C,2004-09-10,34.13442381526107
10304,6,10304,6,WH_C,2004-10-12,33.17610374672739
10312,3,10312,3,WH_C,2004-10-21,34.36398737782808
10322,1,10322,1,WH_C,2004-11-04,32.58799711745741
10333,3,10333,3,WH_C,2004-11-20,38.108646240963466
10347,1,10347,1,WH_C,2004-11-29,34.51161923454115
10357,10,10357,10,WH_C,2004-12-11,39.6469683863493
10369,2,10369,2,WH_C,2005-01-21,34.845220728273816
10381,3,10381,3,WH_C,2005-02-18,32.870656598015664
10391,4,10391,4,WH_C,2005-03-10,34.014224583077365
10411,9,10411,9,WH_C,2005-05-02,33.047526477561334
10424,6,10424,6,WH_C,2005-06-02,33.12279852215755
10107,5,10107,5,WH_C,2003-02-26,32.400727622181876
10120,3,10120,3,WH_C,2003-04-30,33.39588948301733
10134,5,10134,5,WH_C,2003-07-01,32.90907403610887
10145,9,10145,9,WH_C,2003-08-25,33.185707637395424
10159,17,10159,17,WH_C,2003-10-10,34.919576582009
10168,4,10168,4,WH_C,2003-10-28,32.66316949568268
10180,12,10180,12,WH_C,2003-11-11,32.19290938745945
10188,4,10188,4,WH_C,2003-11-18,32.320653381881684
10201,5,10201,5,WH_C,2003-12-01,34.47243411421179
10210,2,10210,2,WH_C,2004-01-12,33.51351820535389
10223,4,10223,4,WH_C,2004-02-20,33.309930295387886
10236,1,10236,1,WH_C,2004-04-05,34.24650985055224
10251,5,10251,5,WH_C,2004-05-20,34.73413818601014
10263,5,10263,5,WH_C,2004-06-28,32.66138940143689
10275,4,10275,4,WH_C,2004-07-23,34.40761141774783
10285,9,10285,9,WH_C,2004-08-27,33.92225431251672
10298,1,10298,1,WH_C,2004-09-27,33.639479141387966
10308,2,10308,2,WH_C,2004-10-15,32.65514095294678
10318,4,10318,4,WH_A,2004-11-04,51.56313945968004
10329,2,10329,2,WH_C,2004-11-15,33.27500809597529
10339,4,10339,4,WH_C,2004-11-23,32.560953013880436
10361,8,10361,8,WH_C,2004-12-17,32.97507891227437
10374,5,10374,5,WH_C,2005-02-02,31.794601180537498
10388,5,10388,5,WH_C,2005-03-03,32.76097990552198
10402,1,10402,1,WH_C,2005-04-08,34.276061482741966
10417,5,10417,5,WH_C,2005-05-13,32.327518183542196
10107,4,10107,4,WH_C,2003-02-26,32.89031507723783
10120,2,10120,2,WH_C,2003-04-29,33.32953615796512
10134,4,10134,4,WH_C,2003-07-01,32.2078033015203
10145,8,10145,8,WH_C,2003-08-25,35.23860136709649
10159,16,10159,16,WH_C,2003-10-10,32.73562817421616
10168,3,10168,3,WH_C,2003-10-28,32.9495419254645
10180,11,10180,11,WH_C,2003-11-11,32.61236652954419
10188,3,10188,3,WH_C,2003-11-18,32.44920320219508
10201,4,10201,4,WH_C,2003-12-01,31.638924166847644
10210,1,10210,1,WH_C,2004-01-12,34.061673486321794
10223,3,10223,3,WH_C,2004-02-20,35.14556079158101
10237,9,10237,9,WH_C,2004-04-06,32.38355164324768
10251,4,10251,4,WH_C,2004-05-18,33.669954631107096
10263,4,10263,4,WH_C,2004-06-28,34.02718218747194
10275,3,10275,3,WH_C,2004-07-23,34.21970476138502
10285,8,10285,8,WH_C,2004-08-27,33.13247399847818
10299,11,10299,11,WH_C,2004-10-01,32.752322443497164
10308,1,10308,1,WH_C,2004-10-15,32.90488671420294
10318,3,10318,3,WH_A,2004-11-02,51.084574106579254
10329,3,10329,3,WH_C,2004-11-15,34.72179241503359
10339,3,10339,3,WH_C,2004-11-23,32.981588412292155
10362,4,10362,4,WH_C,2005-01-05,32.868867543239354
10374,1,10374,1,WH_C,2005-02-02,34.72483324189744
10388,7,10388,7,WH_C,2005-03-03,34.26094025136592
10403,9,10403,9,WH_C,2005-04-08,34.57966456377984
10417,4,10417,4,WH_C,2005-05-13,34.361617953304716
10105,2,10105,2,WH_C,2003-02-12,33.12266793799632
10119,11,10119,11,WH_C,2003-04-29,33.45594656275577
10129,2,10129,2,WH_C,2003-06-12,34.11160301307661
10143,15,10143,15,WH_C,2003-08-12,32.61303039454327
10155,13,10155,13,WH_C,2003-10-06,33.69753216449705
10167,9,10167,9,WH_C,2003-10-23,34.33733188129064
10178,12,10178,12,WH_C,2003-11-10,32.12361433205518
10186,9,10186,9,WH_C,2003-11-14,34.00094032440823
10197,6,10197,6,WH_C,2003-11-26,33.505430316189724
10209,8,10209,8,WH_C,2004-01-09,34.49217679322214
10222,12,10222,12,WH_C,2004-02-19,31.793788325041824
10248,3,10248,3,WH_C,2004-05-08,38.00400999789693
10261,1,10261,1,WH_C,2004-06-17,33.435132722752414
10273,4,10273,4,WH_C,2004-07-21,32.719638953336556
10283,6,10283,6,WH_C,2004-08-20,33.80304951104701
10295,1,10295,1,WH_C,2004-09-11,38.90592180297739
